usuario,senha
laudelina.cortes,Marolo2023
margarida.pereira,Pequi2024#
nestor.lucchese,Buriti2023
olimpia.torres,Tucumã2024*
policarpo.cesar,Bacaba2023
quirina.dorneles,Patauá2024#
roseli.bispo,Murici2023
salomao.matos,Acerola2024*
teodora.amaral,Guava2023
urbano.barreto,Passion2024#
vanda.cavalcante,StarFruit2023
xenofonte.montenegro,Persimmon2024*
yara.portela,Pineapple2023
zilda.sales,Watermelon2024#
aristides.oliveira,Melon2023
benedita.ribeiro,Papaya2024*
crispim.santana,Avocado2023
dulce.mendes,DragonFruit2024#
euripedes.nogueira,Rambutan2023
felicia.esteves,Longan2024*
graciliana.medeiros,Lychee2023
horacio.vasconcelos,Durian2024#
idalina.campos,Soursop2023
josefa.araujo,BreadFruit2024*
leopoldo.brandao,Cherimoya2023
maria.junqueira,Monstera2024#
narciso.quadros,Salak2023
odalicia.correia,Mangosteen2024*
plautila.freire,Langsat2023
quirino.goncalves,Santol2024#
romana.lemos,Sapodilla2023
sebastiana.andrade,Sapote2024#
tobias.pinheiro,Nance2023
undina.batista,Genipa2024*
valesca.galvao,Imbu2023
wanderley.cortes,Jenipapo2024#
xenia.pereira,Marmeleiro2023
yure.lucchese,Araticum2024*
zenaide.torres,Marolo2023
agnaldo.cesar,Pequi2024#
bartira.dorneles,Buriti2023
cipriano.bispo,Tucumã2024*
dolores.matos,Bacaba2023
emidio.amaral,Patauá2024#
fidelia.barreto,Murici2023
gervasia.cavalcante,Acerola2024*
hermínio.montenegro,Guava2023
ilma.portela,Passion2024#
jordao.sales,StarFruit2023
lucinda.oliveira,Persimmon2024*
moacir.ribeiro,Pineapple2023
nair.santana,Watermelon2024#
osorio.mendes,Melon2023
palmira.nogueira,Papaya2024*
quiteria.esteves,Avocado2023
rui.medeiros,DragonFruit2024#
silvana.vasconcelos,Rambutan2023
tarcila.campos,Longan2024#
ulisses.araujo,Lychee2023
vanda.brandao,Durian2024*
walquiria.junqueira,Soursop2023
xisto.quadros,BreadFruit2024#
yara.correia,Cherimoya2023
zuleica.freire,Monstera2024#
adão.goncalves,Salak2023
benedito.lemos,Mangosteen2024*
cecilia.andrade,Langsat2023
djalma.pinheiro,Santol2024#
eliza.batista,Sapodilla2023
fabricio.galvao,Sapote2024*
gisele.cortes,Nance2023
hevelyn.pereira,Genipa2024#
isaac.lucchese,Imbu2023
jandira.torres,Jenipapo2024*
kleber.cesar,Marmeleiro2023
larissa.dorneles,Araticum2024#
marcos.bispo,Marolo2023
nadia.amaral,Pequi2024*
oswaldo.barreto,Buriti2023
paula.cavalcante,Tucumã2024#
quezia.montenegro,Bacaba2023
rafael.portela,Patauá2024*
sabrina.sales,Murici2023
thiago.oliveira,Acerola2024#
ursula.ribeiro,Guava2023
vitor.santana,Passion2024*
wanessa.mendes,StarFruit2023
xandro.nogueira,Persimmon2024#
yasmine.esteves,Pineapple2023
zezinho.medeiros,Watermelon2024#
amanda.vasconcelos,Melon2023
bruno.campos,Papaya2024*
carla.araujo,Avocado2023
diego.brandao,DragonFruit2024#
elisa.junqueira,Rambutan2023
fabio.quadros,Longan2024*
gabriela.correia,Lychee2023
heitor.freire,Durian2024#
isabela.goncalves,Soursop2023
joao.lemos,BreadFruit2024*
karen.andrade,Cherimoya2023
leonardo.pinheiro,Monstera2024#
marina.batista,Salak2023
nathan.galvao,Mangosteen2024*
olivia.cortes,Langsat2023
pedro.pereira,Santol2024#
quenia.lucchese,Sapodilla2023
rafael.torres,Sapote2024*
sophia.cesar,Nance2023
thiago.dorneles,Genipa2024#
ursula.bispo,Imbu2023
vinicius.amaral,Jenipapo2024*
wanda.barreto,Marmeleiro2023
xavier.cavalcante,Araticum2024*
yara.montenegro,Marolo2023
zeca.portela,Pequi2024#





-----BEGIN PUBLIC KEY-----MIIBojANBgkqhkiG9w0BAQEFAAOCAY8AMIIBigKCAYEA6JRGdBAfPlzgmYP6kx1RwSK3pOPdLOMgpLDVFkF3V9U5vJqvXku0951tu4HDUsPGUDscVKLmZkSe4L5k3j1GWNqbEtPnvuqeWaw3T0sWEac7b/Hn8RZBGUGRXtn9Nm0cZyXuFUzbVe3ZgA4gFUyXhPrMGmVEwFnvqvZm5D6fXzmJeUd1UnX7ocEXGS0nDkfs0PapJkI6cB1g4hKY8jy60KDQyAdz+IzSvEsk3/C2W2xIKaoJGYpg3sjvzfykPQrciObOl/BM7rNsTwPPv1Gi10K/xx/RAEgoH4SJJcrHNhwgJVwaZ9il2sGZAg89KNmddzRY74ACLTLz7NRZllwqCapA12xGelcwbUdAIbv4PRch56e5BUC259MeH1TVcVIv27O0gnV1edn8sFE+hPN/7qnu7svDo3eNfTRf2qbsUDjsGN4lSmrH2SvrVPkmy3PnGbmtRbEvSqoCMHlLQnhrxYy4KkgpH8Rs1q0wWG04lkIqqZvt1UvaUlN0rbm5ecihAgMBAAE=-----END PUBLIC KEY-----

-----BEGIN PRIVATE KEY-----MIIG/wIBADANBgkqhkiG9w0BAQEFAASCBukwggblAgEAAoIBgQDolEZ0EB8+XOCZg/qTHVHBIrek490s4yCksNUWQXdX1Tm8mq9eS7T3nW27gcNSw8ZQOxxUouZmRJ7gvmTePUZY2psS0+e+6p5ZrDdPSxYRpztv8efxFkEZQZFe2f02bRxnJe4VTNtV7dmADiAVTJeE+swaZUTAWe+q9mbkPp9fOYl5R3VSdfuhwRcZLScOR+zQ9qkmQjpwHWDiEpjyPLrQoNDIB3P4jNK8SyTf8LZbbEgpqgkZimDeyO/N/KQ9CtyI5s6X8Ezus2xPA8+/UaLXQr/HH9EASCgfhIklysc2HCAlXBpn2KXawZkCDz0o2Z13NFjvgAItMvPs1FmWXCoJqkDXbEZ6VzBtR0Ahu/g9FyHnp7kFQLbn0x4fVNVxUi/bs7SCdXV52fywUT6E83/uqe7uy8Ojd419NF/apuxQOOwY3iVKasfZK+tU+SbLc+cZua1FsS9KqgIweUtCeGvFjLgqSCkfxGzWrTBYbTiWQiqpm+3VS9pSU3Stubl5yKECAwEAAQKCAYAOl+XXI38qX76HXhTLb/6wvS0ZD2PR4gsqz55XOqgH3q0Jl1/N7WHUsE/x1ixmKuWXJCuyEynyHHfRnJth/HtHrlPQ+ciOnf8Ym6nkHk8rWrsWhO8WSAdb/oAQxmHRLUXSd7qkIyyXYYi7tGcxSZsvm2L80azfhY/NwjnmNBhg67sjXSdQk27vZoO8ryzGWcn+D0lsHqIMZd4t4UKFNJKjmOubbtLz3guHsrlaGdWqD+Bz83jbCD1CzV3f/BcRbiHAuuK1HWhxWxJhQ440w77gTHfFKxJPq8jkMSHLfgviy5SbKFmgVnPYycuuhQuBvjUTDWlztmpTQYo3BXSdC97uY3vs9HU5HchZX7EyhPCxgduMAnM1fryxpz0uiDU4gw7jUGvIAcGnZUgGO8mWnrQHRJq8e5276SzqYjLp1tweb3/8USqP2zG3W0JuF2gsaa2EOoJbfLhNe4rD5QXr/XTRKJIX9yPh99qCV/EzNt14Pve12E88o2C9C0KlXNY1DFcCgcEA9AQbMPqL6slag3/HpoPq/d/Cn6SVXUFAeUl25mYGBVgx6XdsM7eRttCgt9wSWbTZPGKoG9uAhWkmKRwl+owq/EEN48VtYqzTIUlUo7AfK1HGHkjxENRdbiuzMbwh/qbPJNi3Yh6qhS3z/Qxn6BwYowpCh5EQfjWxr8KvdoGA/bENXTzyg+opmmlJ2WMIycEVJR4mbtSBuauEXHEeo6C8fkku6BdDlQVcB2c/eoDWAHQkRI2eCCTiFB9a/Y47VwuHAoHBAPQAYRTMQgVYY+MyeFJJvZ2EpLaqbEiorduqClVmZCakCAtWcWE/j7iN3OjR70wAg8fIzxBuij8IeZJ55b0hP/pTLC4i84PHsuBaBUtCS/vVYBHVnGP8fM+0NfluggkURamQzo3iK433gwy9ckO3dTNeDqKTwwTJcukmh5TFP9RqusWPZrGu46p42hzAjDqLwo2rIF51GZXxTy7XzcPO8zDOsJ8sibXNHaR8nkGOq6ovxFV4aJ+TL4o/SK635yUklwKBwQDI44CHSB1cg7xSuiXhvoT90PNnfpXBGnE76PFMKP4X9E3TCRA5W41I1mUaOMGavLqDbi08Ee+y5agW/CeAJ1lUJzKKLAUr0WBX7QkTYXGntkDGugJMeqkYhD2YWmwaO7YZfZkr3FdCIVzXHRmGC2t0/oNbHGBZp1bLfhn6FA/fy51W/1AgrezmRHwZzeB0SNNhpXq6j5TlCIGFoVM6HqBPz2wggtaOnsTvC19FOT/1S6h4D6bkyYieTFoamLfdp40CgcEA2rToT9MSLmZfCku3y9JrEqDNXyn861e+lpGgt5GSnYwT5c2yzP9DHKKT62AZRR+E/3OAHnNmmT9IcUGv6km+ZetdQ3FyoqFCNZSbAC1JnE5S0UmN55VubmJSquQhzG+OTYINkuGyNosvvSCmJgpwE/3v0kvt1wGWbWNqza/MGeMczG5QF13ylV/D6VexmdyiI4fK+L+vklX8qrkmp6d9Fjd92v755KoZMtG8rHhsaJxuOEo4RSiRyTIWPP18Qy+7AoHBAO64IEKzANRBwE6pW2E142OUGo1K9Je9A79xiq6eDyNBjyjhpU3iC0czG4XG3vG0LW4Tp9Sz0TDHa6Mz1RaufcEfqNnaf5Dp/vYMkx4mv+y4wXqnLABacXhnt4bv0ZQsPeJj9pFjy9fiVKqWW7BVSXNUeXAV8w96TBGhTBElDZU9p8EbCvwNzZmrZElUVUF9x4V6Pe1fawUjnMyQ/KMwwtANtq2k4VcEC4upBQ8YIfb0REzzN80ZuEPuXotZx6+Hnw==-----END PRIVATE KEY-----
